,product_url,product_name,price,rating,number_of_reviews,ASIN,product_description,manufacturer
212,https://www.amazon.in//Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5/ref=sr_1_207?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-207,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",₹989,79,79,,,
213,https://www.amazon.in//Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_208?crid=2M096C61O4MLT&keywords=bags&qid=1675444887&sprefix=ba%2Caps%2C283&sr=8-208,Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,"₹1,049","1,404","1,404",,,
214,https://www.amazon.in//Kuber-Industries-Lightweight-Toiletry-Carrying/dp/B0B45QRYHY/ref=sr_1_209?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-209,Kuber Industries Rexine Lightweight Travel Toiletry Bag Shaving Kit with Carrying Strap (Grey) 54KM4283,₹244,18,18,,,
215,https://www.amazon.in//VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ/ref=sr_1_210?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-210,VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),₹899,335,335,,,
216,https://www.amazon.in//ADISA-Women-Girls-Floral-SL5073-SKY_Sky/dp/B09B56RD6Z/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-211,ADISA Women Girls Floral Print Round Sling Bag,₹399,"1,116","1,116",,,
217,https://www.amazon.in//Resistant-Outdoor-Shoulder-Unbalance-Earphone/dp/B07TT785P7/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-212,"Arctic Hunter Mens Small Sling Bag Chest Bag Shoulder Bag Mobile Bag Side Bag with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product,Black","₹1,139",528,528,,,
218,https://www.amazon.in//Gear-Black-Casual-Backpack-BKPCMPUS10110/dp/B00Z9427SK/ref=sr_1_213?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-213,Gear Campus1 22L Water Resistant School Bag/ College Bag/ Backpack For Men/Women-Black Royalblue,₹649,"3,832","3,832",,,
219,https://www.amazon.in//Kleider-Nylon-Travel-Mobile-Messenger/dp/B08V5B5G14/ref=sr_1_214?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-214,DEIN KLEIDER Nylon Cross Body Travel Mobile Pouch Sling Messenger Bag for Women,₹259,"1,331","1,331",,,
220,https://www.amazon.in//AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V57FMBH/ref=sr_1_215?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-215,"AirCase Laptop Messenger Bag Case Cover Pouch for 13.3-Inch, 14-Inch, 15.6 -Inch Laptop Bag for Men & Women","₹1,199",481,481,,,
221,https://www.amazon.in//Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_216?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-216,"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",₹899,811,811,,,
222,https://www.amazon.in//ZIBUYU%C2%AE-Handbag-Fashion-Shoulder-Crossbody/dp/B0B3MTSRFK/ref=sr_1_217?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-217,ZIBUYU® Tote Handbag for Women Fashion Faux Leather Tote Bag Classic Shoulder Crossbody Bags for Lady Girl Solid Color,"₹1,322",39,39,,,
223,https://www.amazon.in//Nivia-5177RD-Polyester-String-Bag/dp/B07NNJKQQY/ref=sr_1_218?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-218,Nivia 5177RD Polyester String Bag (Red),₹193,250,250,,,
224,https://www.amazon.in//Storite-Cross-Travel-Dark-Grey/dp/B07PFF4RYC/ref=sr_1_219?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-219,Storite Stylish Padded Small Nylon Sling Cross Body Travel Office Business Messenger Bag for Men Women (25x16x7.5cm) (Dark Grey),₹449,"8,053","8,053",,,
225,https://www.amazon.in//POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_220?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-220,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",₹579,"17,259","17,259",,,
